Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00930961318718291,-2.46017271655133E-05,0.0494776561928281,0,0,0,0.468815276672664,0.000565780833009601,6.16337717867707E-08,3.14090273447614E-07,0.000572534814696946,1.3351143080687E-10,0.00111000192564049,0,0,0,0,0,0,package://ARM/meshes/base_link.STL,0.647058823529412,0.517647058823529,0,1,0,0,0,0,0,0,package://ARM/meshes/base_link.STL,,黄铜柱（45mm）【机械臂】-3;黄铜柱（45mm）【机械臂】-5;黄铜柱（45mm）【机械臂】-2;ZP15S总线单轴舵机固定套（横切）-1;ZP15S舵机整体-1/ZP15S总线单轴舵机-1;黄铜柱（45mm）【机械臂】-6;黄铜柱（45mm）【机械臂】-1;黄铜柱（45mm）【机械臂】-4;深沟球轴承61817下压环-1;深沟球轴承61817外固定环-1;深沟球轴承61817上压环-1;GB╱T 276-2013[深沟球轴承[60000]61817]-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00168686014333341,0.00673674839895128,0.0265441272605301,0,0,0,0.215363711819574,0.000124558241821812,5.79046749380691E-07,8.49282234636994E-06,0.000143243612444852,-7.74092837893318E-06,0.000193446981640122,0,0,0,0,0,0,package://ARM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/link1.STL,,机械臂B-1;底座-机械臂转接件-1;MG996R舵机整体-2/MG996R金属标准舵机-1;ZP15S舵机整体-1/金属主舵盘-1;深沟球轴承61817内固定环-1,坐标系1,基准轴1,joint1,revolute,-0.01,0,0.048,0,0,0,base_link,0,0,1,0,0,-135,135,,,,,,,,
link2,8.71442817143575E-08,0.0901451144790134,0.00928993112336962,0,0,0,0.129999039828346,0.000436948457942913,1.31801137461617E-09,7.25516248258067E-11,3.43694026397129E-05,-1.67056026324988E-07,0.000456375620661354,0,0,0,0,0,0,package://ARM/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM/meshes/link2.STL,,MG996R舵机整体-2/25T标准金属舵盘-1;机械臂C-1;MG996R舵机整体-3/25T标准金属舵盘-1,坐标系2,基准轴2,joint2,revolute,-0.01391,0.0039,0.06028,1.5708,0,0,link1,0,0,1,0,0,-135,135,,,,,,,,
link3,2.96709227673442E-09,0.0735487807913097,-0.0151755203710407,0,0,0,0.156195930021367,0.000262825406892756,-1.4074227332792E-12,2.65336280151459E-12,2.49626327180492E-05,-8.55839315487097E-10,0.000267509687642332,0,0,0,0,0,0,package://ARM/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM/meshes/link3.STL,,MG996R舵机整体-3/MG996R金属标准舵机-1;机械臂D-1;MG996R舵机整体-4/MG996R金属标准舵机-1,坐标系3,基准轴3,joint3,revolute,0,0.18,-0.0001,0,0,0,link2,0,0,1,0,0,-135,135,,,,,,,,
link4,-0.000304948984398003,0.0703542783074806,0.0093402122173849,0,0,0,0.104883177577196,0.000233128551704159,8.85284144650757E-07,1.47410302099711E-09,2.8737124568215E-05,-3.6532039193794E-07,0.000249703348356135,0,0,0,0,0,0,package://ARM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/link4.STL,,机械臂E-1;MG996R舵机整体-5/25T标准金属舵盘-1;MG996R舵机整体-4/25T标准金属舵盘-1,坐标系4,基准轴4,joint4,revolute,0,0.1471,0,0,0,0,link3,0,0,1,0,0,-135,135,,,,,,,,
link5,0.00243286839430311,0.0174425187399532,-0.0124411516465626,0,0,0,0.0732289914623858,4.02724499410726E-05,-2.50495754907293E-06,-2.07163665960067E-06,2.02748057305671E-05,-5.24289021027153E-06,3.76513369230198E-05,0,0,0,0,0,0,package://ARM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/link5.STL,,机械臂A-1;MG996R舵机整体-5/MG996R金属标准舵机-1,坐标系5,基准轴5,joint5,revolute,-0.00060707,0.14,0,0,0,0,link4,0,0,1,0,0,-135,135,,,,,,,,
